Cluster,X,Y,Frequency,Group,N,sessions,tlv,count,a_bike,a_casual,a_dance,a_golf,a_hiking,a_on_the_move,a_onthemove,a_running,a_studio,a_swim,a_tennis,a_trail_running,a_training,a_travel,a_yoga,c_5_year_basic,c_abc,c_align,c_all_yours,c_allyours,c_always_in_motion,c_alwaysinmotion,c_at_ease,c_atease,c_base_pace,c_basepace,c_blissfeel,c_bowline,c_built_to_move,c_chargefeel,c_city_sweat,c_citysweat,c_cityverse,c_commission,c_cool_racerback,c_dance_studio,c_dancestudio,c_define,c_drysense,c_ebb_to_street,c_ebbtostreet,c_energy,c_engineered_warmth,c_enlite,c_everywhere,c_fast&free,c_fast_&_free,c_free_to_be,c_fundamental,c_groove,c_hold_tight,c_hotty_hot,c_hottyhot,c_instill,c_invigorate,c_license_to_train,c_licensetotrain,c_like_a_cloud,c_likeacloud,c_loungeful,c_love,c_lululemon_lab,c_metal_vent_tech,c_metalventtech,c_pace_breaker,c_perfectly_oversized,c_perfectlyoversized,c_power_pivot,c_power_thru,c_ready_to_rulu,c_restfeel,c_scuba,c_sculpt,c_soft_jersey,c_speed_up,c_speedup,c_steady_state,c_strongfeel,c_surge,c_swift_speed,c_swiftly,c_swiftspeed,c_t.h.e.,c_wunder_puff,c_wunder_train,c_wunder_under,c_wundermost,c_wundertrain,c_wunderunder,c_zeroed_in,cat_accessories,cat_all_bras,cat_allbras,cat_bags,cat_bestsellers,cat_bodysuits,cat_bouteilles_d^eau,cat_button_down_shirts,cat_camisoles,cat_can,cat_capris,cat_chaussettes,cat_coats&jackets,cat_coats_&_jackets,cat_commerceroot,cat_dresses,cat_early_access,cat_equipment,cat_femmes,cat_gift_ideas,cat_giftideas,cat_gloves_&_mittens,cat_hair_accessories,cat_hats,cat_hauts,cat_hauts_à_capuchon_et_chandails,cat_hommes,cat_hoodies&sweatshirts,cat_hoodies_&_sweatshirts,cat_joggers,cat_jumpsuits_&_rompers,cat_jupes,cat_lab_shop,cat_leggings,cat_long_sleeve_shirts,cat_loungewear,cat_manches_courtes,cat_manteaux,cat_manteaux_+_vestes,cat_matching_sets,cat_nos_succès,cat_nouveautés,cat_pantalons,cat_pantalons_d^entraînement,cat_pantalons_de_jogging,cat_pants,cat_polo_shirts,cat_sacs,cat_scarves_&_wraps,cat_shirts,cat_shoes,cat_shop_outfits,cat_short_sleeve_shirts,cat_shorts,cat_shortsleeveshirts,cat_skirts,cat_socks,cat_sous-vêtements,cat_soutiens-gorge_sport,cat_special_edition,cat_sports_bras,cat_sweaters,cat_sweatpants,cat_swim_trunks,cat_swimsuits,cat_t-shirts,cat_tank_tops,cat_tanktops,cat_team_canada_,cat_tights,cat_tricots,cat_trousers,cat_underwear,cat_usa,cat_vêtements_de_détente,cat_water_bottles,cat_we_made_too_much,cat_wemadetoomuch,cat_what^s_new,cat_what^snew,cat_women^s_0-14,cat_yoga_mats,cat_yogaaccessories,clr_black,clr_black_&_white,clr_black_&_white_,clr_blanc,clr_blue,clr_brown,clr_burgundy,clr_camo,clr_gold,clr_green,clr_grey,clr_khaki,clr_metallic,clr_navy,clr_neon,clr_neutral,clr_noir,clr_olive,clr_orange,clr_pastel,clr_pink,clr_printed,clr_purple,clr_red,clr_rose,clr_striped,clr_tie_dye,clr_white,clr_yellow,g_all,g_men,g_women,gift_all
0,0.002455,0.178847,577,1,1865,0.178847,0.002455,0.007703,0.001386,0.002792,0.000578,0.001406,0.000894,0.004803,0.002889,0.005139,0.0,0.000823,0.00392,0.0,0.00444,0.0,0.003897,5e-05,0.002209,0.00445,0.00108,0.0,0.001304,0.001733,0.00045,0.0,0.000664,0.0,0.000234,0.001486,0.000204,0.000385,0.000802,0.0,0.0,0.001601,0.001155,0.000661,0.0,0.000563,0.002266,0.000968,0.001733,0.002423,2.1e-05,0.000821,0.005291,0.001733,0.001487,0.002372,0.002836,0.000615,0.0,0.002483,0.0,0.001981,0.000693,0.000985,0.0,0.002276,0.0,0.000113,0.00041,0.000891,0.002141,0.0,0.001241,0.000824,0.0,0.000727,0.000678,0.000504,0.00276,0.000567,0.000611,0.000135,0.002032,0.0,0.000438,0.000505,0.001494,0.000793,0.0016,0.0,5e-05,8.7e-05,0.00472,0.000306,0.0,0.0,0.0,0.0,0.004673,0.002472,0.0,0.003626,0.005726,0.001631,0.001733,0.000433,0.0,0.0,0.000867,0.0,0.0,0.000348,0.0,0.001248,0.000657,0.000867,0.0,0.004231,0.0,0.0,0.000151,0.002463,0.0,0.0,0.000867,0.000693,0.00098,0.001017,0.0,0.0,0.0,0.004506,0.001179,0.001238,0.0,0.001733,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002525,0.001516,0.0,0.0,0.002716,0.000356,0.003616,0.000678,0.007243,0.0,0.004384,0.000797,0.0,0.000248,0.001155,0.005044,0.000231,0.000301,0.000158,0.000867,0.001418,0.00213,0.0,0.0,0.0,0.0,0.002261,0.001829,0.0,0.0,8.7e-05,0.002458,0.001155,0.001145,0.0,0.0,0.001733,0.0,0.003458,0.001412,0.0,0.001733,0.003565,0.001902,0.001364,0.001238,0.0,0.002945,0.003531,0.000648,0.0,0.000607,0.002666,0.000301,0.0,0.000834,0.002066,0.002127,0.004325,0.001375,0.001536,0.00187,0.0,0.001733,0.0,0.001369,0.000365,0.002694,0.004237,0.006369,0.0
1,0.002589,0.841569,457,1,1865,0.841569,0.002589,0.037888,0.001313,0.0,0.000729,0.003303,0.005881,0.027694,0.003647,0.018794,0.0,0.002571,0.006304,0.000461,0.019868,0.0,0.014176,0.003314,0.010483,0.019755,0.003989,0.0,0.003294,0.0,0.001654,0.0,0.007148,0.0,0.001735,0.005549,0.002188,0.00245,0.004052,0.0,0.0,0.005489,0.000365,0.00275,0.0,0.007429,0.005218,0.003382,0.0,0.00451,0.001567,3.8e-05,0.021056,0.0,0.004201,0.007486,0.004078,0.00501,0.000292,0.01029,0.002188,0.003855,0.00372,0.006565,0.002188,0.003401,0.0,0.001108,0.006478,0.004877,0.005706,0.0,0.008405,0.005551,0.0,0.001694,0.002949,0.003581,0.010374,0.006864,0.001354,0.002359,0.008954,0.0,0.001522,0.0031,0.00713,0.003115,0.007048,0.0,0.000938,0.002649,0.021433,0.010555,0.002601,0.0,0.0,0.000995,0.017984,0.004087,0.000729,0.022858,0.022442,0.00399,0.0,0.002553,0.0,0.004376,0.002603,0.0,0.0,0.004815,0.0,0.002538,0.003848,0.000469,0.0,0.02362,0.0,0.002419,0.005042,0.006565,0.0,0.0,0.0,0.001313,0.010041,0.007806,0.000438,0.0,0.003063,0.023669,0.007221,0.004376,0.0,0.0,0.0,0.005112,0.0,0.0,0.0,0.0,0.0,0.011666,0.003693,0.0,0.0,0.007795,0.002525,0.002528,0.002474,0.019072,0.0,0.005535,0.002976,0.0,0.0,0.000729,0.007883,0.001823,0.002759,0.002785,0.001702,0.003581,0.007066,0.0,0.0,0.000875,0.0,0.01037,0.003769,0.0,0.0,0.003173,0.015848,0.000729,0.003165,0.0,0.000875,0.00311,0.0,0.016783,0.002593,0.0,0.0,0.014686,0.006544,0.009542,0.004298,0.002713,0.017708,0.014281,0.003599,0.000875,0.002079,0.00987,0.012026,0.0,0.005673,0.003535,0.012532,0.020006,0.004168,0.010162,0.006737,0.0,0.0,0.000199,0.008669,0.005643,0.017029,0.015356,0.027988,0.0
2,0.002702,0.736723,3,1,1865,0.736723,0.002702,0.563492,0.0,0.0,0.0,0.069182,0.109375,0.255505,0.0,0.341122,0.0,0.033333,0.119048,0.0,0.556047,0.0,0.282486,0.0,0.013072,0.308238,0.105128,0.0,0.0,0.0,0.010499,0.0,0.116667,0.0,0.006006,0.0,0.0,0.0,0.018519,0.0,0.0,0.0,0.0,0.08114,0.0,0.069002,0.0,0.004329,0.0,0.506803,0.045268,0.0,0.059603,0.0,0.069091,0.0,0.0,0.074766,0.0,0.006757,0.0,0.174603,0.233333,0.085859,0.0,0.24498,0.0,0.095238,0.236842,0.247619,0.052288,0.0,0.0,0.020325,0.0,0.0,0.028985,0.0,0.111111,0.065562,0.333333,0.0,0.007663,0.0,0.0,0.0,0.08046,0.146893,0.143813,0.0,0.0,0.05,0.452381,0.254902,0.18239,0.0,0.0,0.0,0.144345,0.485294,0.0,0.210256,0.248,0.294118,0.0,0.0,0.0,0.041667,0.163793,0.0,0.0,0.014856,0.0,0.006667,0.37931,0.0,0.0,0.196078,0.0,0.0,0.101449,0.0,0.0,0.0,0.0,0.0,0.055238,0.105769,0.0,0.0,0.133333,0.4,0.08,0.133333,0.0,0.0,0.0,0.064,0.0,0.0,0.0,0.0,0.0,0.121413,0.0,0.0,0.0,0.401327,0.004274,0.068966,0.057971,0.126316,0.0,0.052288,0.006667,0.0,0.0,0.0,0.482906,0.0,0.0,0.0,0.0,0.0,0.069444,0.0,0.0,0.0,0.0,0.202899,0.018519,0.0,0.0,0.0,0.209101,0.0,0.058036,0.0,0.266667,0.0,0.0,0.168035,0.111111,0.057471,0.0,0.425425,0.12037,0.043716,0.0,0.0,0.317919,0.403509,0.018692,0.0,0.183333,0.198135,0.542029,0.0,0.024691,0.008547,0.106061,0.219047,0.21164,0.474747,0.0,0.0,0.0,0.0,0.205945,0.157895,0.10996,0.01705,0.575138,0.0
3,0.002497,0.533458,769,1,1865,0.533458,0.002497,0.012442,0.00026,0.000795,0.001084,0.00238,0.002357,0.009141,0.003251,0.006016,0.0,0.001333,0.00226,0.0,0.00664,0.0013,0.005228,0.000817,0.00374,0.006691,0.00146,0.0,0.001063,0.0,0.000328,0.0,0.002471,0.0,0.000574,0.000836,0.000306,0.000611,0.002408,0.0,0.0,0.001422,0.0,0.002609,0.0,0.002286,0.0006,0.001267,0.0,0.002919,0.000321,0.000525,0.008138,0.0,0.001277,0.002122,0.001241,0.002431,0.0,0.003066,0.0,0.002229,0.002471,0.002128,0.0,0.001488,0.0013,0.000591,0.002755,0.00104,0.001581,0.001951,0.002512,0.002077,0.0,0.000252,0.001131,0.001702,0.003516,0.001341,0.001001,0.000569,0.00275,0.0,0.00068,0.000108,0.001906,0.001036,0.001818,0.0013,0.001152,0.000715,0.00663,0.002677,0.001914,0.0,0.0,0.0,0.006171,0.001664,0.0,0.007062,0.009196,0.002448,0.0,0.001589,0.001486,0.001138,0.000964,0.0,0.0,0.002014,0.0,0.001508,0.000762,0.000279,0.001951,0.005622,0.0,0.000137,0.000565,0.001574,0.000867,0.00065,0.00065,0.00156,0.002905,0.003601,0.0013,0.0,0.00026,0.007521,0.002783,0.002787,0.0,0.0,0.0,0.001248,0.0,0.0,0.002601,0.0,0.0,0.005761,0.001869,0.0,0.000433,0.003481,0.000508,0.002264,0.001357,0.008213,0.0,0.002346,0.001534,0.0013,0.000372,0.0,0.004185,0.001604,0.000565,0.001419,0.000867,0.003665,0.004091,0.0,0.0,0.00065,0.0013,0.002262,0.002637,0.0,0.0013,0.00026,0.003974,0.0013,0.001167,0.00065,0.00078,0.000479,0.0013,0.005436,0.000771,0.0,0.0,0.005405,0.002565,0.002643,0.001208,0.001612,0.006803,0.005446,0.000717,0.000433,0.002016,0.002937,0.003585,0.0013,0.00366,0.001934,0.0053,0.005585,0.000661,0.002148,0.003422,0.000289,0.0,0.001182,0.003851,0.0,0.0044,0.005464,0.010273,0.00011
4,0.002649,0.852676,26,1,1865,0.852676,0.002649,0.209543,0.0,0.0,0.0,0.041364,0.038462,0.103601,0.01282,0.124281,0.00641,0.010577,0.027473,0.0,0.12968,0.0,0.124221,0.001099,0.013575,0.148055,0.023964,0.0,0.038875,0.0,0.0,0.0,0.123718,0.0,0.005197,0.009615,0.0,0.000986,0.007835,0.0,0.0,0.002282,0.0,0.044534,0.0,0.024988,0.001479,0.016484,0.0,0.03336,0.003324,0.006748,0.060112,0.0,0.012028,0.080972,0.012238,0.019411,0.007692,0.076923,0.0,0.069597,0.061538,0.044872,0.0,0.037535,0.0,0.008492,0.023785,0.040659,0.034691,0.0,0.01486,0.0197,0.0,0.013648,0.008361,0.04965,0.0,0.017678,0.021029,0.001202,0.051724,0.0,0.000221,0.0,0.003316,0.019557,0.038461,0.0,0.0,0.011264,0.168269,0.042987,0.020319,0.0,0.0,0.0,0.059238,0.031109,0.0,0.066864,0.058615,0.063348,0.0,0.0,0.0,0.0,0.022546,0.0,0.0,0.018534,0.0,0.001538,0.029178,0.008242,0.0,0.041855,0.0,0.006073,0.055184,0.008097,0.0,0.0,0.0,0.0,0.018901,0.016272,0.0,0.0,0.0,0.175,0.065385,0.00989,0.0,0.0,0.0,0.028,0.0,0.0,0.0,0.0,0.0,0.078706,0.038462,0.0,0.012821,0.046307,0.001726,0.003316,0.045151,0.104049,0.0,0.018854,0.015385,0.0,0.0,0.0,0.069034,0.008974,0.005017,0.0,0.010684,0.024476,0.012019,0.0,0.0,0.0,0.0,0.013378,0.013889,0.0,0.0,0.001923,0.126469,0.0,0.012534,0.0,0.0,0.02834,0.0,0.073576,0.031339,0.0,0.0,0.091245,0.028846,0.029634,0.004121,0.0,0.160293,0.072007,0.01941,0.041026,0.005769,0.068316,0.097993,0.0,0.042735,0.0429,0.151515,0.121978,0.006105,0.053905,0.074899,0.0,0.0,0.017482,0.046056,0.006073,0.078318,0.036298,0.180923,0.0
5,0.002961,0.99499,1,1,1865,0.99499,0.002961,0.784864,0.0,0.0,0.0,0.0,0.078125,0.693622,0.0,0.219626,0.0,0.0,0.047619,0.0,0.221239,0.0,0.303202,0.0,0.0,0.332242,0.007692,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.008475,0.0,0.098684,0.0,0.33758,0.0,0.324675,0.0,0.081633,0.0,0.0,0.059603,0.0,0.098182,0.0,0.0,0.11215,0.0,0.148649,0.0,0.095238,0.0,0.022727,0.0,0.349398,0.0,0.103896,0.092105,0.371429,0.0,0.0,0.0,0.585366,0.0,0.032258,0.043478,0.345455,0.185185,0.277433,0.064748,0.0,0.229885,0.0,0.0,0.0,0.0,0.0,0.090301,0.0,0.0,0.042857,0.839286,0.647059,0.188679,0.0,0.0,0.0,0.1875,0.014706,0.0,0.584615,0.428,0.176471,0.0,0.0,0.0,0.0,0.025862,0.0,0.0,0.111421,0.0,0.0,0.034483,0.0,0.0,0.382353,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.428571,0.230769,0.0,0.0,0.0,0.558333,0.22,0.2,0.0,0.0,0.0,0.256,0.0,0.0,0.0,0.0,0.0,0.264901,0.0,0.0,0.0,0.303483,0.019231,0.258621,0.26087,0.263158,0.0,0.039216,0.0,0.0,0.0,0.333333,0.294872,0.5,0.130435,0.0,0.0,0.090909,0.708333,0.0,0.0,0.0,0.0,0.086957,0.0,0.0,0.0,0.0,0.163597,0.0,0.171875,0.0,0.0,0.0,0.0,0.619048,0.0,0.0,0.0,0.054054,0.111111,0.131148,0.107143,0.28,0.375723,0.368421,0.018692,0.0,0.0,0.244755,0.991304,0.0,0.296296,0.012821,0.333333,0.419048,0.0,0.045455,0.0,0.0,0.0,0.0,0.388535,0.0,0.127807,0.007673,0.824732,0.0
6,0.00304,0.816633,1,1,1865,0.816633,0.00304,0.671769,0.0,0.0,0.0,0.0,0.0,0.235763,0.0,0.764019,0.0,0.0,0.0,0.0,0.10177,0.0,0.440678,0.0,0.0,0.481178,0.007692,0.0,0.0,0.0,0.0,0.0,0.033333,0.0,0.009009,0.0,0.0,0.094017,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.149682,0.0,0.493506,0.0,0.030612,0.0,0.0,0.013245,0.0,0.003636,0.0,0.0,0.35514,0.0,0.533784,0.0,0.047619,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.036585,0.0,0.032258,0.0,0.0,0.0,0.026915,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.050847,0.424749,0.0,0.0,0.0,0.1875,0.176471,0.0,0.0,0.0,0.0,0.040179,0.0,0.0,0.061538,0.156,0.0,0.0,0.0,0.0,0.0,0.103448,0.0,0.0,0.019499,0.0,0.0,0.034483,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.074286,0.0,0.0,0.0,0.0,0.483333,0.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.039735,0.0,0.0,0.0,0.139303,0.012821,0.051724,0.0,0.536842,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4375,0.0,0.0,0.0,0.0,0.0,0.166667,0.0,0.0,0.0,0.540628,0.0,0.0625,0.0,0.0,0.0,0.0,0.08046,0.0,0.0,0.0,0.510511,0.0,0.344262,0.0,0.0,0.156069,0.285714,0.0,0.0,0.0,0.062937,0.13913,0.0,0.0,0.0,0.015152,0.847619,0.0,0.757576,0.473684,0.0,0.0,0.0,0.0,0.0,0.139896,0.0,0.691334,0.0
7,0.00254,0.830212,29,1,1865,0.830212,0.00254,0.150979,0.0,0.0,0.0,0.024073,0.023707,0.140602,0.017241,0.052933,0.0,0.002586,0.001642,0.009074,0.043332,0.0,0.032015,0.023645,0.076628,0.040296,0.008753,0.034483,0.012607,0.0,0.014933,0.0,0.013218,0.0,0.013669,0.04803,0.0,0.019157,0.065773,0.0,0.0,0.030392,0.0,0.004764,0.0,0.03031,0.050398,0.000448,0.0,0.001759,0.055768,0.0,0.108701,0.0,0.018307,0.010889,0.053292,0.012246,0.022989,0.004893,0.0,0.011494,0.0,0.066614,0.0,0.001246,0.0,0.021048,0.014065,0.059113,0.069642,0.0,0.033699,0.01598,0.034483,0.0,0.0,0.010658,0.057471,0.033198,0.003473,0.045797,0.002378,0.0,0.045977,0.027299,0.055886,0.000584,0.010841,0.0,0.013793,0.022291,0.018781,0.0,0.057905,0.0,0.0,0.0,0.085745,0.001521,0.0,0.067374,0.073655,0.004057,0.0,0.024904,0.0,0.012931,0.001189,0.0,0.0,0.023437,0.0,0.008276,0.003567,0.007389,0.0,0.355984,0.0,0.014519,0.0,0.034483,0.0,0.017241,0.0,0.006897,0.060099,0.076591,0.0,0.0,0.0,0.032184,0.044138,0.016749,0.0,0.0,0.0,0.026483,0.0,0.0,0.034483,0.034483,0.0,0.045444,0.012931,0.0,0.011494,0.019043,0.015694,0.027943,0.005997,0.033394,0.0,0.0,0.009655,0.0,0.0,0.0,0.0084,0.004598,0.008996,0.0,0.003831,0.015674,0.012931,0.0,0.0,0.0,0.0,0.001499,0.009579,0.0,0.0,0.0,0.053648,0.0,0.031019,0.0,0.0,0.0,0.0,0.062284,0.057471,0.009512,0.0,0.053536,0.060983,0.008479,0.0,0.031724,0.068168,0.075966,0.015791,0.0,0.027586,0.025802,0.030585,0.0,0.022989,0.011494,0.014107,0.066995,0.011494,0.017764,0.013612,0.0,0.0,0.0,0.049857,0.0,0.085224,0.145163,0.069738,0.001453
8,0.002213,0.636022,1,1,1865,0.636022,0.002213,0.301871,0.0,0.0,0.0,0.735849,0.515625,0.145786,0.0,0.32243,0.0,0.0,0.214286,0.0,0.017699,0.0,0.009416,0.0,0.0,0.090016,0.0,0.0,0.0,0.0,0.0,0.0,0.033333,0.0,0.612613,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.010204,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02027,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.038961,0.144737,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.037037,0.006211,0.0,0.0,0.0,0.0,0.0,0.083333,0.0,0.0,0.113712,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.035714,0.0,0.0,0.030769,0.232,0.0,0.0,0.0,0.0,0.0,0.086207,0.0,0.0,0.066852,0.0,0.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.102857,0.048077,0.0,0.0,0.0,0.133333,0.16,0.057143,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.198675,0.0,0.0,0.0,0.134328,0.217949,0.0,0.0,0.126316,0.0,0.098039,0.02,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.020833,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.093174,0.0,0.0,0.0,0.0,0.0,0.0,0.047619,0.0,0.0,0.0,0.162162,0.0,0.0,0.0,0.0,0.196532,0.165414,0.028037,0.0,0.0,0.314685,0.0,0.0,0.0,0.051282,0.0,0.933333,0.0,0.287879,0.105263,0.0,0.0,0.772727,0.012739,0.157895,0.148532,0.0,0.257059,0.0
9,0.002006,0.9499,1,1,1865,0.9499,0.002006,0.597789,0.0,0.0,0.0,0.056604,0.484375,0.517084,0.0,0.264019,0.0,0.0,0.0,0.052632,0.336283,0.0,0.047081,0.0,0.0,0.191489,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.144144,0.0,0.0,0.34188,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006369,0.0,0.0,0.0,0.22449,0.0,0.070175,0.0,0.0,0.08,0.0,0.0,1.0,0.0,0.040541,0.0,0.0,0.0,0.212121,0.0,1.0,0.0,0.909091,0.105263,0.028571,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.122153,0.05036,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.050167,0.0,0.0,0.1,0.160714,0.0,0.113208,0.0,0.0,0.0,0.084821,0.147059,0.0,0.261538,0.24,0.0,0.0,0.0,0.0,0.0,0.017241,0.0,0.0,0.348189,0.0,0.0,0.482759,0.0,0.0,0.705882,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.325714,0.009615,0.0,0.0,0.0,0.416667,0.18,0.057143,0.0,0.0,0.0,0.168,0.0,0.0,0.0,0.0,0.0,0.059603,0.0,0.0,0.0,0.288557,0.032051,0.0,0.0,0.0,0.0,0.0,0.26,0.0,0.0,0.0,0.307692,0.4,0.0,0.0,0.0,0.181818,0.0,0.0,0.0,0.0,0.0,0.0,0.194444,0.0,0.0,0.0,0.163597,0.0,0.026786,0.0,0.0,0.0,0.0,0.187192,0.0,0.0,0.0,0.393393,0.25463,0.442623,0.0,0.0,0.346821,0.022556,0.0,0.0,0.0,0.0,0.469565,0.0,0.185185,0.0,0.136364,0.819048,0.031746,0.05303,0.026316,0.0,0.0,0.0,0.140127,0.0,0.229706,0.0,0.555988,0.0
