Cluster,Frequency,Group,N,LOW,HIGH,LOOP,tlv,a_bike,a_casual,a_dance,a_golf,a_hiking,a_on_the_move,a_onthemove,a_running,a_studio,a_swim,a_tennis,a_trail_running,a_training,a_travel,a_yoga,c_5_year_basic,c_abc,c_align,c_all_yours,c_allyours,c_always_in_motion,c_alwaysinmotion,c_at_ease,c_atease,c_base_pace,c_basepace,c_blissfeel,c_bowline,c_built_to_move,c_chargefeel,c_city_sweat,c_citysweat,c_cityverse,c_commission,c_cool_racerback,c_dance_studio,c_dancestudio,c_define,c_drysense,c_ebb_to_street,c_ebbtostreet,c_energy,c_engineered_warmth,c_enlite,c_everywhere,c_fast&free,c_fast_&_free,c_free_to_be,c_fundamental,c_groove,c_hold_tight,c_hotty_hot,c_hottyhot,c_instill,c_invigorate,c_license_to_train,c_licensetotrain,c_like_a_cloud,c_likeacloud,c_loungeful,c_love,c_lululemon_lab,c_metal_vent_tech,c_metalventtech,c_pace_breaker,c_perfectly_oversized,c_perfectlyoversized,c_power_pivot,c_power_thru,c_ready_to_rulu,c_restfeel,c_scuba,c_sculpt,c_soft_jersey,c_speed_up,c_speedup,c_steady_state,c_strongfeel,c_surge,c_swift_speed,c_swiftly,c_swiftspeed,c_t.h.e.,c_wunder_puff,c_wunder_train,c_wunder_under,c_wundermost,c_wundertrain,c_wunderunder,c_zeroed_in,cat_accessories,cat_all_bras,cat_allbras,cat_bags,cat_bestsellers,cat_bodysuits,cat_bouteilles_d^eau,cat_button_down_shirts,cat_camisoles,cat_can,cat_capris,cat_chaussettes,cat_coats&jackets,cat_coats_&_jackets,cat_commerceroot,cat_dresses,cat_early_access,cat_equipment,cat_femmes,cat_gift_ideas,cat_giftideas,cat_gloves_&_mittens,cat_hair_accessories,cat_hats,cat_hauts,cat_hauts_à_capuchon_et_chandails,cat_hommes,cat_hoodies&sweatshirts,cat_hoodies_&_sweatshirts,cat_joggers,cat_jumpsuits_&_rompers,cat_jupes,cat_lab_shop,cat_leggings,cat_long_sleeve_shirts,cat_loungewear,cat_manches_courtes,cat_manteaux,cat_manteaux_+_vestes,cat_matching_sets,cat_nos_succès,cat_nouveautés,cat_pantalons,cat_pantalons_d^entraînement,cat_pantalons_de_jogging,cat_pants,cat_polo_shirts,cat_sacs,cat_scarves_&_wraps,cat_shirts,cat_shoes,cat_shop_outfits,cat_short_sleeve_shirts,cat_shorts,cat_shortsleeveshirts,cat_skirts,cat_socks,cat_sous-vêtements,cat_soutiens-gorge_sport,cat_special_edition,cat_sports_bras,cat_sweaters,cat_sweatpants,cat_swim_trunks,cat_swimsuits,cat_t-shirts,cat_tank_tops,cat_tanktops,cat_team_canada_,cat_tights,cat_tricots,cat_trousers,cat_underwear,cat_usa,cat_vêtements_de_détente,cat_water_bottles,cat_we_made_too_much,cat_wemadetoomuch,cat_what^s_new,cat_what^snew,cat_women^s_0-14,cat_yoga_mats,cat_yogaaccessories,clr_black,clr_black_&_white,clr_black_&_white_,clr_blanc,clr_blue,clr_brown,clr_burgundy,clr_camo,clr_gold,clr_green,clr_grey,clr_khaki,clr_metallic,clr_navy,clr_neon,clr_neutral,clr_noir,clr_olive,clr_orange,clr_pastel,clr_pink,clr_printed,clr_purple,clr_red,clr_rose,clr_striped,clr_tie_dye,clr_white,clr_yellow,g_all,g_men,g_women,gift_all
0,6,3,267,5001,10000,3,0.013260,0.000000,0.000000,0.000000,0.022012,0.041667,0.219058,0.000000,0.095016,0.000000,0.000000,0.000000,0.000000,0.144542,0.000000,0.116133,0.009524,0.042484,0.150027,0.012820,0.000000,0.003584,0.000000,0.013123,0.000000,0.005556,0.000000,0.000000,0.053571,0.000000,0.005698,0.067901,0.000000,0.000000,0.004237,0.000000,0.097588,0.000000,0.032909,0.000000,0.023810,0.000000,0.010204,0.004115,0.000000,0.162252,0.000000,0.048485,0.000000,0.094697,0.014019,0.000000,0.027027,0.000000,0.000000,0.000000,0.046717,0.000000,0.006024,0.000000,0.000000,0.076754,0.023809,0.071896,0.000000,0.005682,0.028455,0.000000,0.000000,0.000000,0.018182,0.049383,0.081090,0.001199,0.005208,0.120690,0.000000,0.002874,0.000000,0.014368,0.008474,0.050724,0.000000,0.000000,0.067262,0.212798,0.009804,0.031447,0.000000,0.000000,0.000000,0.084077,0.009804,0.000000,0.241026,0.186667,0.019608,0.000000,0.000000,0.000000,0.000000,0.015805,0.000000,0.000000,0.048747,0.000000,0.043333,0.022989,0.000000,0.000000,0.250000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.067619,0.057692,0.000000,0.000000,0.000000,0.083333,0.023333,0.023810,0.000000,0.000000,0.000000,0.093333,0.000000,0.000000,0.000000,0.000000,0.000000,0.108168,0.104167,0.000000,0.000000,0.049751,0.003205,0.000000,0.000000,0.100000,0.000000,0.000000,0.023333,0.000000,0.000000,0.000000,0.012820,0.005556,0.094203,0.000000,0.000000,0.000000,0.211806,0.000000,0.000000,0.000000,0.000000,0.043478,0.009259,0.000000,0.000000,0.000000,0.110690,0.000000,0.052083,0.000000,0.000000,0.000000,0.000000,0.130268,0.000000,0.000000,0.000000,0.075075,0.038580,0.125683,0.000000,0.000000,0.246628,0.125313,0.042056,0.000000,0.000000,0.066434,0.102898,0.000000,0.049383,0.008547,0.060606,0.160317,0.002646,0.063132,0.057018,0.000000,0.000000,0.000000,0.145435,0.061404,0.103627,0.054987,0.244726,0.033206
1,3,3,267,5001,10000,3,0.012700,0.000000,0.000000,0.000000,0.081761,0.000000,0.195520,0.000000,0.027258,0.000000,0.000000,0.000000,0.000000,0.032449,0.000000,0.015694,0.000000,0.274510,0.033279,0.035898,0.000000,0.000000,0.000000,0.007874,0.000000,0.000000,0.000000,0.000000,0.142857,0.235294,0.000000,0.234568,0.000000,0.000000,0.129943,0.000000,0.006579,0.000000,0.037155,0.012821,0.000000,0.000000,0.000000,0.000000,0.000000,0.013245,0.000000,0.013333,0.000000,0.356061,0.018692,0.000000,0.000000,0.000000,0.000000,0.000000,0.045455,0.000000,0.000000,0.000000,0.000000,0.000000,0.076190,0.013072,0.000000,0.011364,0.004065,0.000000,0.000000,0.000000,0.000000,0.197531,0.015183,0.000000,0.114583,0.000000,0.000000,0.024904,0.000000,0.155172,0.000000,0.002230,0.000000,0.085714,0.011905,0.002976,0.000000,0.000000,0.000000,0.000000,0.000000,0.014881,0.000000,0.000000,0.082051,0.152000,0.000000,0.000000,0.148148,0.000000,0.000000,0.000000,0.000000,0.000000,0.018570,0.000000,0.000000,0.000000,0.000000,0.000000,0.294118,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.055238,0.041667,0.000000,0.000000,0.000000,0.061111,0.000000,0.028571,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.134658,0.270833,0.000000,0.000000,0.026534,0.000000,0.022989,0.043478,0.042105,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.166667,0.000000,0.000000,0.027778,0.000000,0.000000,0.000000,0.044781,0.000000,0.070685,0.000000,0.000000,0.000000,0.000000,0.097975,0.000000,0.000000,0.000000,0.081081,0.058642,0.005464,0.000000,0.000000,0.065511,0.167920,0.049844,0.000000,0.000000,0.000000,0.002899,0.000000,0.000000,0.000000,0.000000,0.025397,0.000000,0.000000,0.157895,0.000000,0.000000,0.000000,0.012739,0.000000,0.074841,0.289855,0.044142,0.000000
2,223,3,267,5001,10000,3,0.012244,0.007175,0.000498,0.000000,0.002538,0.006306,0.016420,0.000747,0.011085,0.000000,0.000785,0.004698,0.000000,0.008969,0.000000,0.008563,0.001281,0.010053,0.011082,0.004795,0.000000,0.005497,0.000000,0.000671,0.000000,0.003737,0.004484,0.001454,0.001121,0.004748,0.000690,0.003405,0.000000,0.004484,0.004636,0.001495,0.002980,0.000000,0.002356,0.002760,0.001922,0.000000,0.004988,0.000941,0.000236,0.008256,0.000000,0.003522,0.006136,0.006217,0.001551,0.000000,0.004212,0.000000,0.000427,0.000448,0.004382,0.000000,0.007348,0.000000,0.000058,0.003540,0.003331,0.004484,0.000000,0.004484,0.002406,0.000000,0.000434,0.002925,0.001468,0.003820,0.002860,0.001484,0.002873,0.004278,0.000000,0.000696,0.003176,0.001005,0.002812,0.005444,0.000000,0.000384,0.001537,0.009329,0.003429,0.002792,0.000000,0.000000,0.000000,0.006786,0.002638,0.000000,0.008969,0.015067,0.000528,0.000000,0.008346,0.000000,0.000000,0.001508,0.000000,0.002242,0.003073,0.002242,0.001704,0.003402,0.001281,0.000000,0.014640,0.000000,0.001416,0.000000,0.005428,0.000000,0.000000,0.000000,0.000000,0.004638,0.004915,0.002691,0.000000,0.000000,0.009978,0.011390,0.004100,0.000000,0.000000,0.000000,0.002691,0.000000,0.000000,0.000000,0.000000,0.000000,0.007276,0.002522,0.000000,0.000000,0.006760,0.000747,0.002242,0.002535,0.015530,0.000000,0.002550,0.002422,0.000000,0.000000,0.002990,0.009888,0.007623,0.001950,0.000000,0.000498,0.002446,0.011211,0.000000,0.000000,0.001345,0.000000,0.007019,0.012830,0.002242,0.000000,0.000224,0.006204,0.004484,0.004935,0.000000,0.000897,0.000000,0.000000,0.008895,0.000830,0.000155,0.000000,0.011648,0.006104,0.001838,0.002883,0.004484,0.010213,0.009205,0.004065,0.000000,0.003812,0.007401,0.008540,0.000000,0.005481,0.003679,0.003941,0.010122,0.003417,0.005436,0.005546,0.000000,0.000000,0.001427,0.006826,0.001652,0.006575,0.012363,0.016964,0.002045
3,1,3,267,5001,10000,3,0.015426,0.000000,0.000000,0.000000,0.000000,0.000000,0.006834,0.500000,0.007009,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.026144,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.113636,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.500000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.034483,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.016000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.038462,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.004975,0.000000,0.000000,0.043478,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.006369,0.000000,0.003454,0.025575,0.000000,0.000000
4,1,3,267,5001,10000,3,0.012950,0.000000,0.000000,0.000000,0.056604,0.031250,0.142369,0.000000,0.179907,0.000000,0.000000,0.000000,0.000000,0.539823,0.000000,1.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.043011,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.008475,0.000000,0.052632,0.000000,0.000000,0.000000,0.246753,0.000000,0.561224,0.000000,0.070175,0.145695,0.000000,0.000000,0.210526,0.000000,0.289720,0.000000,0.013514,0.000000,0.047619,0.000000,0.030303,0.000000,0.024096,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.045455,0.000000,0.000000,0.000000,0.478261,0.000000,0.037037,0.000000,0.000000,0.000000,0.149425,0.000000,0.000000,0.000000,0.000000,0.033898,0.000000,0.000000,0.028571,0.000000,0.392857,0.529412,0.037736,0.000000,0.000000,0.000000,0.013393,0.308824,0.000000,0.061538,0.180000,0.000000,0.000000,0.000000,0.000000,0.000000,0.146552,0.000000,0.000000,0.000000,0.000000,0.020000,0.103448,0.000000,0.000000,0.058824,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.991667,0.040000,0.000000,0.000000,0.000000,0.000000,0.160000,0.000000,0.000000,0.000000,0.000000,0.000000,0.430464,0.000000,0.000000,0.000000,0.074627,0.000000,0.000000,0.000000,0.031579,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.679487,0.000000,0.000000,0.000000,0.000000,0.000000,0.145833,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.511376,0.000000,0.020089,0.000000,0.000000,0.000000,0.000000,0.162562,0.000000,0.000000,0.000000,0.405405,0.509259,0.819672,0.000000,0.000000,0.456647,0.451128,0.000000,0.000000,0.000000,0.027972,0.147826,0.000000,0.000000,0.115385,0.000000,0.200000,0.222222,0.507576,0.842105,0.000000,0.000000,0.181818,0.000000,0.000000,0.264249,0.030691,0.677702,0.000000
5,1,3,267,5001,10000,3,0.014705,0.000000,0.000000,0.000000,0.094340,0.000000,0.732346,0.000000,0.035047,0.000000,0.000000,0.000000,0.000000,0.075221,0.000000,0.018832,0.000000,0.000000,0.063830,0.500000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.081081,0.000000,0.000000,0.042735,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.003185,0.000000,0.012987,0.000000,0.030612,0.000000,0.000000,0.000000,0.000000,0.010909,0.000000,0.000000,0.000000,0.000000,0.020270,0.000000,0.000000,0.000000,0.083333,0.000000,0.000000,0.000000,0.389610,0.039474,0.000000,0.000000,0.000000,0.000000,0.500000,0.000000,0.000000,0.000000,0.000000,1.000000,0.399586,0.000000,0.171875,0.022989,0.000000,0.000000,0.000000,0.000000,0.118644,0.120401,0.000000,0.000000,0.242857,0.285714,0.000000,0.283019,0.000000,0.000000,0.000000,0.075893,0.029412,0.000000,0.353846,0.108000,0.000000,0.000000,0.000000,0.000000,0.000000,0.129310,0.000000,0.000000,0.052925,0.000000,0.000000,0.000000,0.000000,0.000000,0.294118,0.000000,0.000000,0.000000,0.105263,0.000000,0.000000,0.000000,0.000000,0.354286,0.038462,0.000000,0.000000,0.000000,0.000000,0.140000,0.171429,0.000000,0.000000,0.000000,0.040000,0.000000,0.000000,0.000000,0.000000,0.000000,0.052980,0.000000,0.000000,0.000000,0.029851,0.038462,0.000000,0.000000,0.010526,0.000000,0.000000,0.160000,0.000000,0.000000,0.000000,0.025641,0.933333,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.361111,0.000000,0.000000,0.000000,0.416035,0.000000,0.078125,0.000000,0.000000,0.000000,0.000000,0.123153,0.000000,0.000000,0.000000,0.039039,0.282407,0.098361,0.000000,0.000000,0.144509,0.000000,0.018692,0.000000,0.000000,0.000000,0.017391,0.000000,0.000000,0.000000,0.000000,0.257143,0.000000,0.242424,0.000000,0.000000,0.000000,0.000000,0.146497,0.000000,0.493955,0.012788,0.388510,0.000000
6,1,3,267,5001,10000,3,0.009510,0.000000,0.000000,0.000000,0.000000,0.046875,0.880410,0.000000,0.079439,0.000000,0.000000,0.047619,0.000000,0.013274,0.000000,0.015066,0.000000,0.000000,0.009820,0.630769,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.017094,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.181529,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.018182,0.000000,0.000000,0.186916,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.493976,0.000000,0.181818,0.065789,0.000000,0.000000,0.000000,0.000000,0.963415,0.000000,0.000000,0.000000,0.818182,0.000000,0.366460,0.000000,0.000000,0.000000,0.000000,0.000000,0.125000,0.000000,0.000000,0.036789,0.000000,0.000000,0.360714,0.008929,0.000000,0.000000,0.000000,0.000000,0.000000,0.040179,0.000000,0.000000,0.000000,0.256000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.261838,0.000000,0.000000,0.034483,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.451429,0.250000,0.000000,0.000000,0.000000,0.008333,1.000000,0.114286,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.609272,0.000000,0.000000,0.000000,0.124378,0.006410,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.128205,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.270856,0.000000,0.002232,0.000000,0.000000,0.000000,0.000000,0.152709,0.000000,0.000000,0.000000,0.498498,0.425926,0.000000,0.000000,0.000000,0.138728,0.473684,0.635514,0.000000,0.350000,0.000000,0.043478,0.000000,0.000000,0.769231,0.121212,0.590476,0.000000,0.106061,0.026316,0.000000,0.000000,0.000000,0.286624,0.473684,0.122625,0.007673,0.729309,0.000000
7,29,3,267,5001,10000,3,0.012709,0.013793,0.000000,0.000000,0.004554,0.023168,0.106473,0.000000,0.084595,0.000000,0.013793,0.012315,0.007260,0.058895,0.000000,0.044159,0.000985,0.017129,0.061177,0.023342,0.000000,0.000371,0.000000,0.003801,0.000000,0.046552,0.000000,0.022057,0.000000,0.002028,0.028588,0.008940,0.000000,0.000000,0.005260,0.000000,0.054673,0.000000,0.021195,0.003979,0.007613,0.000000,0.024631,0.010643,0.000000,0.035853,0.004926,0.016677,0.029038,0.010972,0.019981,0.000000,0.053821,0.000000,0.073892,0.013793,0.013845,0.000000,0.024096,0.000000,0.008509,0.053539,0.002956,0.010142,0.000000,0.009404,0.026493,0.000000,0.000000,0.001499,0.013793,0.071520,0.032198,0.020342,0.003772,0.016251,0.000000,0.005945,0.007184,0.002378,0.013442,0.043248,0.000000,0.008867,0.009236,0.068658,0.079108,0.023422,0.000000,0.000000,0.000000,0.026324,0.008114,0.022989,0.031300,0.084552,0.006085,0.000000,0.000000,0.000000,0.004310,0.019322,0.000000,0.000000,0.011911,0.000000,0.053103,0.013080,0.000000,0.000000,0.048682,0.000000,0.007260,0.007496,0.001815,0.000000,0.000000,0.000000,0.000000,0.049064,0.013263,0.000000,0.000000,0.000000,0.055747,0.082069,0.035468,0.000000,0.000000,0.000000,0.027862,0.000000,0.000000,0.000000,0.000000,0.000000,0.047728,0.004310,0.000000,0.000000,0.028993,0.017020,0.015458,0.004498,0.070417,0.000000,0.051386,0.043448,0.000000,0.000000,0.000000,0.014589,0.028736,0.037481,0.000000,0.013410,0.009404,0.035920,0.000000,0.000000,0.000000,0.000000,0.026986,0.022031,0.034483,0.000000,0.008621,0.055404,0.000000,0.038639,0.000000,0.027586,0.000000,0.000000,0.061548,0.010217,0.000000,0.000000,0.056229,0.038793,0.065008,0.001232,0.000000,0.077337,0.054965,0.011924,0.000000,0.000000,0.053291,0.022489,0.000000,0.006386,0.011052,0.022989,0.081117,0.010947,0.050941,0.027223,0.000000,0.000000,0.000000,0.043707,0.030853,0.051099,0.021695,0.127690,0.025190
8,1,3,267,5001,10000,3,0.015285,0.000000,0.000000,0.000000,0.000000,0.000000,0.723235,0.000000,0.535047,0.000000,0.000000,0.000000,0.000000,0.137168,0.000000,0.105461,0.000000,0.000000,0.234043,0.469231,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.159236,0.000000,0.168831,0.000000,0.051020,0.000000,0.000000,0.470199,0.000000,0.109091,0.000000,0.090909,0.149533,0.000000,1.000000,0.000000,0.000000,0.000000,0.083333,0.000000,0.000000,0.000000,0.000000,0.065789,0.000000,0.000000,0.000000,0.000000,0.256098,0.000000,0.000000,0.000000,0.000000,0.000000,0.366460,0.035971,0.093750,0.045977,0.000000,0.000000,0.000000,0.000000,0.000000,0.364548,0.000000,0.000000,0.128571,0.232143,0.176471,0.000000,0.000000,0.000000,0.000000,0.312500,0.029412,0.000000,0.000000,0.560000,0.000000,0.000000,0.000000,0.000000,0.000000,0.163793,0.000000,0.000000,0.125348,0.000000,0.020000,0.275862,0.000000,0.000000,0.029412,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.542857,0.000000,0.000000,0.000000,0.000000,0.141667,0.300000,0.085714,0.000000,0.000000,0.000000,0.024000,0.000000,0.000000,0.000000,0.000000,0.000000,0.013245,0.000000,0.000000,0.000000,0.283582,0.000000,0.000000,0.000000,0.926316,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.012821,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.392199,0.000000,0.049107,0.000000,0.000000,0.000000,0.000000,0.062397,0.000000,0.000000,0.000000,0.837838,0.907407,0.049180,0.000000,0.000000,0.294798,0.210526,0.074766,0.000000,0.000000,0.545455,0.121739,0.000000,0.000000,0.089744,0.590909,0.561905,0.047619,0.477273,0.000000,0.000000,0.000000,0.000000,0.216561,0.000000,0.385147,0.030691,0.695229,0.736909
9,1,3,267,5001,10000,3,0.010383,0.000000,0.000000,0.000000,0.000000,0.109375,0.266515,0.000000,0.317757,0.000000,0.000000,0.142857,0.157895,0.615044,0.000000,0.092279,0.000000,0.000000,0.080196,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.117117,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.467105,0.000000,0.121019,0.000000,0.428571,0.000000,0.346939,0.000000,0.000000,0.139073,0.000000,0.029091,0.157895,0.000000,0.000000,0.000000,0.229730,0.000000,0.047619,0.000000,0.068182,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.121951,0.000000,0.000000,0.565217,0.072727,0.000000,0.111801,0.035971,0.000000,0.367816,0.000000,0.000000,0.000000,0.000000,0.118644,0.096990,0.000000,0.000000,0.000000,0.928571,0.058824,0.000000,0.000000,0.000000,0.000000,0.026786,0.279412,0.000000,0.000000,0.296000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.047354,0.000000,0.000000,0.413793,0.000000,0.000000,0.147059,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.102857,0.173077,0.000000,0.000000,0.000000,0.325000,0.080000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.066225,0.000000,0.000000,0.000000,0.223881,0.000000,0.000000,0.000000,0.410526,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.257855,0.000000,0.062500,0.000000,0.400000,0.000000,0.000000,0.006568,0.000000,0.000000,0.000000,0.723724,0.000000,0.606557,0.000000,0.000000,0.653179,0.022556,0.000000,0.000000,0.000000,0.279720,0.000000,0.000000,0.000000,0.000000,0.000000,0.142857,0.000000,0.378788,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.127807,0.007673,0.469328,0.000000
