ORIGINAL_SESSIONS,ORIGINAL_TLV,sessions,tlv,count,a_bike,a_casual,a_dance,a_golf,a_hiking,a_on_the_move,a_onthemove,a_running,a_studio,a_swim,a_tennis,a_trail_running,a_training,a_travel,a_yoga,c_5_year_basic,c_abc,c_align,c_all_yours,c_allyours,c_always_in_motion,c_alwaysinmotion,c_at_ease,c_atease,c_base_pace,c_basepace,c_blissfeel,c_bowline,c_built_to_move,c_chargefeel,c_city_sweat,c_citysweat,c_cityverse,c_commission,c_cool_racerback,c_dance_studio,c_dancestudio,c_define,c_drysense,c_ebb_to_street,c_ebbtostreet,c_energy,c_engineered_warmth,c_enlite,c_everywhere,c_fast&free,c_fast_&_free,c_free_to_be,c_fundamental,c_groove,c_hold_tight,c_hotty_hot,c_hottyhot,c_instill,c_invigorate,c_license_to_train,c_licensetotrain,c_like_a_cloud,c_likeacloud,c_loungeful,c_love,c_lululemon_lab,c_metal_vent_tech,c_metalventtech,c_pace_breaker,c_perfectly_oversized,c_perfectlyoversized,c_power_pivot,c_power_thru,c_ready_to_rulu,c_restfeel,c_scuba,c_sculpt,c_soft_jersey,c_speed_up,c_speedup,c_steady_state,c_strongfeel,c_surge,c_swift_speed,c_swiftly,c_swiftspeed,c_t.h.e.,c_wunder_puff,c_wunder_train,c_wunder_under,c_wundermost,c_wundertrain,c_wunderunder,c_zeroed_in,cat_accessories,cat_all_bras,cat_allbras,cat_bags,cat_bestsellers,cat_bodysuits,cat_bouteilles_d^eau,cat_button_down_shirts,cat_camisoles,cat_can,cat_capris,cat_chaussettes,cat_coats&jackets,cat_coats_&_jackets,cat_commerceroot,cat_dresses,cat_early_access,cat_equipment,cat_femmes,cat_gift_ideas,cat_giftideas,cat_gloves_&_mittens,cat_hair_accessories,cat_hats,cat_hauts,cat_hauts_à_capuchon_et_chandails,cat_hommes,cat_hoodies&sweatshirts,cat_hoodies_&_sweatshirts,cat_joggers,cat_jumpsuits_&_rompers,cat_jupes,cat_lab_shop,cat_leggings,cat_long_sleeve_shirts,cat_loungewear,cat_manches_courtes,cat_manteaux,cat_manteaux_+_vestes,cat_matching_sets,cat_nos_succès,cat_nouveautés,cat_pantalons,cat_pantalons_d^entraînement,cat_pantalons_de_jogging,cat_pants,cat_polo_shirts,cat_sacs,cat_scarves_&_wraps,cat_shirts,cat_shoes,cat_shop_outfits,cat_short_sleeve_shirts,cat_shorts,cat_shortsleeveshirts,cat_skirts,cat_socks,cat_sous-vêtements,cat_soutiens-gorge_sport,cat_special_edition,cat_sports_bras,cat_sweaters,cat_sweatpants,cat_swim_trunks,cat_swimsuits,cat_t-shirts,cat_tank_tops,cat_tanktops,cat_team_canada_,cat_tights,cat_tricots,cat_trousers,cat_underwear,cat_usa,cat_vêtements_de_détente,cat_water_bottles,cat_we_made_too_much,cat_wemadetoomuch,cat_what^s_new,cat_what^snew,cat_women^s_0-14,cat_yoga_mats,cat_yogaaccessories,clr_black,clr_black_&_white,clr_black_&_white_,clr_blanc,clr_blue,clr_brown,clr_burgundy,clr_camo,clr_gold,clr_green,clr_grey,clr_khaki,clr_metallic,clr_navy,clr_neon,clr_neutral,clr_noir,clr_olive,clr_orange,clr_pastel,clr_pink,clr_printed,clr_purple,clr_red,clr_rose,clr_striped,clr_tie_dye,clr_white,clr_yellow,g_all,g_men,g_women,gift_all
892,47848,0.223196,0.073113,0.968537,0,0,0,0,0.359375,0.952164,0,0.140187,0,0.025,0.095238,0,0.30531,0,0.276836,0,0,0.806874,0,0,0,0,0.070866,0,0.066667,0,0.117117,0,0,0,0.055556,0,0,0,0,0.171053,0,0.251592,0,1,0,0.132653,0.012346,0,0.317881,0,0.032727,0,0,0.214953,0,0,0,0,0,0.045455,0,0.072289,0,0,0.171053,0,0.019608,0,0,0.768293,0,0,0,0,0.481481,0.099379,0,0,0.011494,0,0,0.125,0.189655,0,0.117057,0,0,0.057143,1,0,0,0,0,0,0.133929,0.073529,0,0,0.5,0,0,0.138889,0,0,0.017241,0,0,0.094708,0,0.9,0,0,0,0,0,0,0,0.315789,0,0,0,0,0.148571,0.019231,0,0,0,0.1,0.06,0.057143,0,0,0,0,0,0,0,0,0,0.350993,0,0,0,0.393035,0.038462,0.241379,0,0.126316,0,0.058824,0,0,0,0,0.064103,0.066667,0.217391,0,0.055556,0,0.145833,0,0,0,0,0.043478,0.111111,0,0,0,0.219935,0,1,0,0,0,0,0.390805,0,0,0,0.45045,1,0.672131,0,0,0.109827,0.082707,0.373832,0,0,0.41958,0.130435,0,0.074074,0.192308,0.090909,0.714286,0.634921,0.310606,0.105263,0,0,0,0.840764,0,0.195164,0.066496,0.974684,0
3853,4213,0.96493,0.008214,0.14881,0,0,0,0.132075,0.109375,0.099089,0,0.067757,0,0,0,0,0.066372,0,0.05838,0,0,0.126023,0.076923,0,0,0,0,0,0,0,0,0,0,0.034188,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.671053,0,0,0,0,0,0,0,0,0,0,0,0.165468,0,0,0,0,0,0,0.016949,0.003344,0,0,0,0.0625,0.117647,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.068966,0,0,0.088235,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.109453,0.00641,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.15818,0,0,0,0,0,0,0,0,0,0,0.105105,0.037037,0.42623,0,0,0.104046,0,0,0,0,0,0.556522,0,0,0.025641,0,0.180952,0,0,0,0,0,0,0,0,0.022453,0,0.149951,0.001277
3030,203,0.758768,0.00225,0.096939,0,0,0,0,0,0.089977,0,0.03271,0,0,0,0,0.030973,0,0.028249,0,0.196078,0,0,0,0,0,0.015748,0,0,0,0,0,0,0,0,0,0,0.016949,0,0,0,0,0,0,0,0,0.185185,0,0.019868,0,0,0,0,0,0,0,0,0,0,0.05303,0,0,0,0,0,0,0.411765,0,0,0,0,0,0,0,0.148148,0,0,0,0,0,0.103448,0,0.051724,0,0,0,0,0,0,0,0,0,0,0,0.084821,0,0,0.015385,0.06,0,0,0,0,0,0,0,0,0.002786,0,0,0,0.214286,0,0.147059,0,0,0,0.368421,0,0,0,0,0.057143,0.134615,0,0,0,0,0,0.028571,0,0,0,0,0,0,0,0,0,0.033113,0,0,0,0.029851,0.019231,0.12069,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.019502,0,0,0,0,0,0,0.085386,0.296296,0,0,0.021021,0.037037,0,0,0,0.011561,0.105263,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.063903,0.196931,0,0
3470,1309,0.868988,0.003895,0.122449,0,0,0,0,0,0.156036,0,0.007009,0,0.05,0,0,0.013274,0,0,0,0.013072,0.042553,0.092308,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.016949,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.007576,0,0,0,0.064935,0,0,0,0,0,0,0,0,0,0,0,0.00207,0.215827,0.109375,0,0,0,0,0,0,0.033445,0,0,0,0,0,0.339623,0,0,0,0.017857,0,0,0,0,0,0,0,0,0,0.025862,0,0,0.058496,0,0,0,0,0,0.029412,0,0,0,0,0,0,0,0,0.034286,0.019231,0,0,0,0.008333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.199005,0,0.034483,0,0,0,0,0,0,0,0,0,0.533333,0,0,0.111111,0,0.6875,0,0,0,0,0,0,0,0,0,0.015168,0,0,0,0,0,0,0.093596,0,0,0,0,0.013889,0,0,0,0,0.030075,0.308411,0,0,0,0.06087,0,0,0,0,0,0,0,0,0,0,0,0.11465,0,0.001727,0.01023,0.135346,0.102171
2694,0,0.674599,0.001948,0.011905,0,0,0,0,0,0.010251,0,0.014019,0,0,0,0,0,0,0,0,0.026144,0,0,0,0.032258,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.006623,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.058824,0,0.034091,0,0,0,0,0,0,0,0,0,0,0,0.005747,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.030769,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.005714,0,0,0,0,0,0.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.011918,0,0,0,0,0,0,0.004926,0,0,0,0,0,0,0,0.04,0,0.082707,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.006908,0.028133,0,0
3253,1392,0.814629,0.004019,0.011905,0,0,0,0,0,0.007973,0,0,0,0,0,0,0.030973,0,0.001883,0,0,0.00491,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.046729,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0625,0,0,0,0,0,0,0,0,0,0.028,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.058333,0,0,0,0,0,0,0,0,0,0,0,0.006623,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00821,0,0,0,0.012012,0.013889,0,0,0,0,0.007519,0,0,0,0,0.017391,0,0,0,0,0,0,0,0,0,0,0,0,0,0.003454,0,0.012658,0
293,1219,0.073146,0.003761,0.021259,0,0,0,0,0.109375,0.013667,0,0.007009,0,0,0,0,0.004425,0,0.00565,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.272727,0,0,0,0,0,0,0.010909,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.004464,0,0,0,0.004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.028571,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.021053,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.040179,0,0,0.157895,0,0.001642,0,0,0,0.042042,0,0,0,0,0,0,0,0,0,0,0,0,0,0.141026,0,0,0,0,0,0,0,0,0,0,0.015544,0,0.016553,0
531,234,0.132766,0.002296,0.17517,0,0,0,0,0,0.019362,0,0.233645,0,0,0.119048,0,0.132743,0,0.103578,0,0,0.160393,0,0,0,0,0,0,0.033333,0,0,0.178571,0,0,0,0,0,0,0.166667,0,0,0,0,0.012987,0,0.132653,0,0.035088,0,0,0.036364,0.052632,0,0,0,0.033784,0,0,0,0,0,0.313253,0,0,0,0,0,0,0,0,0,0.193548,0,0,0,0,0.028777,0,0,0,0,0,0,0,0.023411,0,0,0,0.214286,0,0,0,0,0,0,0.014706,0,0,0.056,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.029851,0,0,0,0.063158,0,0,0,0,0,0,0.038462,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.178765,0,0.022321,0,0,0,0,0.078818,0,0,0,0.021021,0.023148,0,0,0,0.011561,0,0,0,0,0.083916,0,0,0,0,0,0.114286,0,0.015152,0,0,0,0,0.050955,0,0.01209,0.012788,0.189873,0
3915,29174,0.980461,0.045339,0.569728,0,0,0,0,0.03125,0.56492,0,0.140187,0,0,0,0,0.017699,0,0.19209,0,0,0.247136,0.307692,0,0,0,0.070866,0,0,0,0,0,0,0,0.12963,0,0,0.254237,0,0.006579,0,0,0,0,0,0,0,0,0.225166,0,0.032727,0,0.022727,0.196262,0.066667,0.114865,0,0,0,0,0,0,0,0.025974,0.013158,0,0,0,0,0.45122,0,0,0,0,0.185185,0.188406,0,0,0.057471,0,0.206897,0,0,0,0.16388,0,0,0.278571,0.044643,0,0.09434,0,0,0,0.147321,0,0,0.984615,0.164,0,0,0.25,0,0,0,0,0,0.142061,0,0,0,0,0,0.205882,0,0,0,0,0,0,0,0,0.754286,0,0,0,0,0.333333,0.06,0.057143,0,0,0,0.16,0,0,0,0,0,0.165563,0,0,0,0.278607,0.025641,0.034483,0,0.578947,0,0,0,0,0,0,0,0.1,0,0,0.111111,0.090909,0,0,0,0,0,0,0.361111,0,0,0,0.036836,0,0.165179,0,0,0,0,0.042693,0,0,0,0.078078,0.050926,0.04918,0,0.24,0.075145,0.052632,0.11215,0,0,0.013986,0,0,0,0.128205,0.045455,0.047619,0,0.128788,0.105263,0,0,0,0.121019,0,0.148532,0.148338,0.513145,0
92,34,0.022796,0.001999,0.012755,0,0,0,0,0,0.015945,0,0.002336,0,0,0,0,0.004425,0,0,0,0.006536,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.038462,0,0,0,0,0,0,0,0,0,0.272727,0,0,0,0,0,0,0,0,0,0,0,0,0,0.019608,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.017241,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.088235,0,0,0,0,0,0,0,0,0,0.009615,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.006623,0,0,0,0.054726,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.007519,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.040921,0,0
